03:14:00 | EWY TERREMOTO ALZA | CUSUM: subiendo fuerte +5.89% px 175.70
12:33:33 | 🩸 DIP REAL | DIP REAL en GOOGL: -10.7% desde el high de 5 dias, estabilizado. Valuacion sana: Forward PE 23, PEG 1.4. Prob medida de rebote 64 por ciento en 3 dias (n=11). Zona de compra tecnica 320.77. OPCIONES OK (spread 4%)
12:35:22 | 🐋 BALLENA CALLS | MU: flujo calls masivo, P C 0.30 (61,020 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
12:37:01 | 🎈 BB REBOTE | META reventó la banda ABAJO y re-entró en 602.69. Elastico: rebote hacia la media 603.84 si imprime — chico y seguro. prob medida 74 por ciento (n=212). OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
12:37:01 | 🎈 BB REBOTE | GOOGL reventó la banda ABAJO y re-entró en 320.24. Elastico: rebote hacia la media 320.90 si imprime — chico y seguro. prob medida 68 por ciento (n=197). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
12:37:01 | 🎈 BB REBOTE [VETO medido] | SNDK reventó la banda ARRIBA y re-entró en 1689.26. Elastico: reversion corta hacia la media 1677.44 si imprime — chico y seguro. prob medida 73 por ciento (n=194). [VETO z-VWAP estirado: dia de tendencia, 55 por ciento] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:39:01 | 🎈 BB REBOTE | MSFT reventó la banda ABAJO y re-entró en 380.31. Elastico: rebote hacia la media 380.63 si imprime — chico y seguro. prob medida 70 por ciento (n=203). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 4%)
12:39:01 | 🎈 BB REBOTE [VETO medido] | QCOM reventó la banda ARRIBA y re-entró en 170.46. Elastico: reversion corta hacia la media 169.93 si imprime — chico y seguro. prob medida 69 por ciento (n=182). [VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES VETADAS spread 8% — usar ACCIONES o ETF apalancado
12:39:01 | 🎈 BB BAND-WALK [MUTED p<55] | SKHY camina la banda ARRIBA tambien en 5 minutos (175.10). Continuacion probable — NO hacer fade. prob medida 30 por ciento (n=10). OPCIONES VETADAS spread 10% — usar ACCIONES o ETF apalancado
12:39:34 | 🩸 DIP REAL | DIP REAL en MSFT: -5.6% desde el high de 5 dias, estabilizado. Valuacion sana: Forward PE 20, PEG 1.1. Prob medida de rebote 50 por ciento en 3 dias (n=14). Zona de compra tecnica 380.21. OPCIONES OK (spread 4%)
12:40:01 | 🎈 BB BAND-WALK [MUTED p<55] | QQQ camina la banda ARRIBA tambien en 5 minutos (694.98). Continuacion probable — NO hacer fade. prob medida 52 por ciento (n=25). OPCIONES OK (spread 1%)
12:40:01 | 🎈 BB BAND-WALK [MUTED p<55] | AMD camina la banda ARRIBA tambien en 5 minutos (548.00). Continuacion probable — NO hacer fade. prob medida 38 por ciento (n=16). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:40:01 | 🎈 BB REBOTE | AMZN reventó la banda ABAJO y re-entró en 234.22. Elastico: rebote hacia la media 234.70 si imprime — chico y seguro. prob medida 68 por ciento (n=193). OPCIONES OK (spread 2%)
12:40:34 | 🩸 DIP REAL | DIP REAL en AMZN: -7.4% desde el high de 5 dias, estabilizado. Valuacion sana: Forward PE 24, PEG 1.1. Prob medida de rebote 75 por ciento en 3 dias (n=16). Zona de compra tecnica 234.12. OPCIONES OK (spread 2%)
12:41:01 | 🎈 BB BAND-WALK [MUTED p<55] | INTC camina la banda ARRIBA tambien en 5 minutos (102.48). Continuacion probable — NO hacer fade. prob medida 31 por ciento (n=13). OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
12:41:01 | 🎈 BB REBOTE | TSM reventó la banda ARRIBA y re-entró en 418.84. Elastico: reversion corta hacia la media 417.93 si imprime — chico y seguro. prob medida 68 por ciento (n=203). OPCIONES VETADAS spread 10% — usar ACCIONES o ETF apalancado
12:41:01 | 🎈 BB REBOTE | ASML reventó la banda ARRIBA y re-entró en 1809.16. Elastico: reversion corta hacia la media 1806.80 si imprime — chico y seguro. prob medida 68 por ciento (n=189). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:41:01 | 🎈 BB REBOTE | TXN reventó la banda ARRIBA y re-entró en 282.83. Elastico: reversion corta hacia la media 282.61 si imprime — chico y seguro. prob medida 67 por ciento (n=187). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 39% — usar ACCIONES o ETF apalancado
12:41:01 | 🎈 BB BAND-WALK [MUTED p<55] | AVGO camina la banda ARRIBA tambien en 5 minutos (392.78). Continuacion probable — NO hacer fade. prob medida 46 por ciento (n=22). OPCIONES OK (spread 3%)
12:41:01 | 🎈 BB REBOTE | XLK reventó la banda ARRIBA y re-entró en 179.45. Elastico: reversion corta hacia la media 179.16 si imprime — chico y seguro. prob medida 69 por ciento (n=183). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:42:02 | 🎈 BB 15m RE-ENTRADA [MUTED p<55] | MU reventó la banda 15 minutos ARRIBA y re-entró en 1005.36 — elastico mayor, digestion probable. prob medida 0 por ciento (n=3). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:42:05 | 🐋 BALLENA CALLS | TSM: flujo calls masivo, P C 0.34 (7,296 calls) — iman y techo local, ley 13: no perseguir, esperar pullback
12:44:34 | 🩸 DIP VETADO | DIP VETADO por valuacion en TSLA: -16.5% desde el high de 5 dias, pero inflada (FPE 151 PEG 5.9).
12:45:02 | 🎈 BB 15m RE-ENTRADA [MUTED p<55] | WDC reventó la banda 15 minutos ARRIBA y re-entró en 571.75 — elastico mayor, digestion probable. prob medida 0 por ciento (n=3). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:47:02 | 🎈 BB REBOTE | TXN reventó la banda ABAJO y re-entró en 282.20. Elastico: rebote hacia la media 282.69 si imprime — chico y seguro. prob medida 67 por ciento (n=187). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 38% — usar ACCIONES o ETF apalancado
12:47:02 | 🎈 BB REBOTE [VETO medido] | SKHY reventó la banda ABAJO y re-entró en 173.39. Elastico: rebote hacia la media 174.33 si imprime — chico y seguro. prob medida 69 por ciento (n=86). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES VETADAS spread 9% — usar ACCIONES o ETF apalancado
12:47:02 | 🎈 BB REBOTE [VETO medido] | LRCX reventó la banda ABAJO y re-entró en 321.00. Elastico: rebote hacia la media 322.00 si imprime — chico y seguro. prob medida 68 por ciento (n=193). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES VETADAS spread 16% — usar ACCIONES o ETF apalancado
12:47:02 | 🎈 BB REBOTE [VETO medido] | WDC reventó la banda ABAJO y re-entró en 570.47. Elastico: rebote hacia la media 572.89 si imprime — chico y seguro. prob medida 72 por ciento (n=204). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:48:02 | 🎈 BB REBOTE | XLK reventó la banda ABAJO y re-entró en 178.91. Elastico: rebote hacia la media 179.23 si imprime — chico y seguro. prob medida 69 por ciento (n=183). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:48:02 | 🎈 BB REBOTE | EWY reventó la banda ABAJO y re-entró en 172.97. Elastico: rebote hacia la media 173.37 si imprime — chico y seguro. prob medida 63 por ciento (n=185). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:48:02 | 🎈 BB REBOTE | STX reventó la banda ABAJO y re-entró en 929.48. Elastico: rebote hacia la media 932.90 si imprime — chico y seguro. prob medida 72 por ciento (n=209). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:49:02 | 🎈 BB REBOTE | NOK reventó la banda ABAJO y re-entró en 9.95. Elastico: rebote hacia la media 10.00 si imprime — chico y seguro. prob medida 72 por ciento (n=205). OPCIONES VETADAS spread 11% — usar ACCIONES o ETF apalancado
12:49:04 | 🚀 SPIKE PUTS AMZN | SPIKE de puts en AMZN: 7 mil contratos, 14 veces su ritmo. Panico vendedor — rebote al alza, probabilidad 88. OPCIONES OK (spread 1%)
12:49:11 | 🔄 GIRO A PUTS AVGO | AVGO girando a puts: ratio 0.51 desde 0.39
12:49:15 | 🧱🚀 SPIKE PUTS GOOGL | SPIKE de puts en GOOGL EN EL MURO 320: 19 mil contratos, 21 veces su ritmo. Panico contra el piso — rebote al alza reforzado, probabilidad 80. OPCIONES OK (spread 3%)
12:49:15 | 🐺 MANADA A PUTS | MANADA A PUTS: 3 tickers en 12 minutos — AMZN AVGO GOOGL . Extremo de mercado, rebote del indice al alza probable. QQQ 692.99
12:49:15 | 🔄 GIRO A PUTS GOOGL | GOOGL girando a puts: ratio 0.95 desde 0.72
12:49:25 | 🐋 BALLENA PUTS | QCOM: flujo puts 4.0 a 1 (3,288 puts vs 824 calls) — piso o tesis bajista
12:50:03 | 🎈 BB REBOTE | AMD reventó la banda ABAJO y re-entró en 538.61. Elastico: rebote hacia la media 544.24 si imprime — chico y seguro. prob medida 69 por ciento (n=195). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:50:03 | 🎈 BB REBOTE | INTC reventó la banda ABAJO y re-entró en 101.30. Elastico: rebote hacia la media 102.04 si imprime — chico y seguro. prob medida 68 por ciento (n=211). OPCIONES OK (spread 4%)
12:53:03 | 🎈 BB REBOTE | MU reventó la banda ABAJO y re-entró en 995.24. Elastico: rebote hacia la media 1003.67 si imprime — chico y seguro. prob medida 65 por ciento (n=202). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:53:03 | 🎈 BB REBOTE | DRAM reventó la banda ABAJO y re-entró en 58.63. Elastico: rebote hacia la media 58.93 si imprime — chico y seguro. prob medida 61 por ciento (n=186). OPCIONES VETADAS spread 14% — usar ACCIONES o ETF apalancado
12:53:03 | 🎈 BB REBOTE [VETO medido] | SNDK reventó la banda ABAJO y re-entró en 1674.11. Elastico: rebote hacia la media 1685.53 si imprime — chico y seguro. prob medida 73 por ciento (n=194). [VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:54:03 | 🎈 BB REBOTE | QCOM reventó la banda ABAJO y re-entró en 169.24. Elastico: rebote hacia la media 169.94 si imprime — chico y seguro. prob medida 69 por ciento (n=182). OPCIONES VETADAS spread 10% — usar ACCIONES o ETF apalancado
12:54:03 | 🎈 BB REBOTE | AVGO reventó la banda ABAJO y re-entró en 390.45. Elastico: rebote hacia la media 391.97 si imprime — chico y seguro. prob medida 68 por ciento (n=197). OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
12:55:03 | 🎈 BB REBOTE | ASML reventó la banda ABAJO y re-entró en 1804.15. Elastico: rebote hacia la media 1807.17 si imprime — chico y seguro. prob medida 68 por ciento (n=189). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:55:04 | 🧱🚀 SPIKE PUTS MU | SPIKE de puts en MU EN EL MURO 990: 17 mil contratos, 15 veces su ritmo. Panico contra el piso — rebote al alza reforzado, probabilidad 80. OPCIONES s/d — default ACCIONES
12:55:04 | 🔄 GIRO A PUTS MU | MU girando a puts: ratio 0.52 desde 0.31
12:55:26 | 🚀 SPIKE CALLS AAPL | SPIKE de calls en AAPL: 27 mil contratos, 16 veces su ritmo. Climax comprador — rebote a la baja, probabilidad 60. OPCIONES OK (spread 3%)
12:56:03 | 🎈 BB REBOTE | NFLX reventó la banda ARRIBA y re-entró en 68.71. Elastico: reversion corta hacia la media 68.59 si imprime — chico y seguro. prob medida 77 por ciento (n=202). OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:56:25 | 🔄 GIRO A PUTS STX | STX girando a puts: ratio 1.21 desde 0.63
12:58:04 | 🎈 BB REBOTE | AMZN reventó la banda ARRIBA y re-entró en 234.44. Elastico: reversion corta hacia la media 234.19 si imprime — chico y seguro. prob medida 68 por ciento (n=193). OPCIONES OK (spread 1%)
12:59:04 | 🎈 BB REBOTE | MSFT reventó la banda ARRIBA y re-entró en 381.09. Elastico: reversion corta hacia la media 380.49 si imprime — chico y seguro. prob medida 70 por ciento (n=203). OPCIONES OK (spread 4%)
12:59:04 | 🎈 BB REBOTE | GLD reventó la banda ARRIBA y re-entró en 371.61. Elastico: reversion corta hacia la media 371.50 si imprime — chico y seguro. prob medida 64 por ciento (n=194). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
12:59:04 | 🎈 BB REBOTE | SPCX reventó la banda ARRIBA y re-entró en 115.87. Elastico: reversion corta hacia la media 115.41 si imprime — chico y seguro. prob medida 69 por ciento (n=205). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 3%)
13:01:04 | 🎈 BB REBOTE | GOOGL reventó la banda ARRIBA y re-entró en 319.63. Elastico: reversion corta hacia la media 319.20 si imprime — chico y seguro. prob medida 68 por ciento (n=197). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 3%)
13:02:04 | 🎈 BB REBOTE | NVDA reventó la banda ARRIBA y re-entró en 210.13. Elastico: reversion corta hacia la media 209.77 si imprime — chico y seguro. prob medida 69 por ciento (n=196). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 2%)
13:08:05 | 🎈 BB REBOTE | QQQ reventó la banda ABAJO y re-entró en 691.94. Elastico: rebote hacia la media 692.50 si imprime — chico y seguro. prob medida 70 por ciento (n=190). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 1%)
13:08:05 | 🎈 BB REBOTE | NVDA reventó la banda ABAJO y re-entró en 209.42. Elastico: rebote hacia la media 209.75 si imprime — chico y seguro. prob medida 69 por ciento (n=196). OPCIONES OK (spread 1%)
13:08:05 | 🎈 BB REBOTE | SMH reventó la banda ABAJO y re-entró en 578.61. Elastico: rebote hacia la media 580.11 si imprime — chico y seguro. prob medida 66 por ciento (n=188). OPCIONES VETADAS spread 24% — usar ACCIONES o ETF apalancado
13:08:05 | 🎈 BB REBOTE | TSM reventó la banda ABAJO y re-entró en 416.71. Elastico: rebote hacia la media 417.35 si imprime — chico y seguro. prob medida 68 por ciento (n=203). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 14% — usar ACCIONES o ETF apalancado
13:09:02 | 🔄 GIRO A CALLS TXN | TXN girando a calls: ratio 0.80 desde 1.06
13:09:13 | 🐋 BALLENA PUTS | GLD: flujo puts 2.0 a 1 (10,609 puts vs 5,280 calls) — piso o tesis bajista
13:13:05 | 🎈 BB REBOTE [VETO medido] | TSLA reventó la banda ARRIBA y re-entró en 323.16. Elastico: reversion corta hacia la media 322.19 si imprime — chico y seguro. prob medida 70 por ciento (n=200). [VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES OK (spread 3%)
13:14:06 | 🎈 BB REBOTE [VETO medido] | AVGO reventó la banda ARRIBA y re-entró en 391.68. Elastico: reversion corta hacia la media 390.82 si imprime — chico y seguro. prob medida 68 por ciento (n=197). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
13:14:06 | 🎈 BB REBOTE | SKHY reventó la banda ARRIBA y re-entró en 173.96. Elastico: reversion corta hacia la media 173.25 si imprime — chico y seguro. prob medida 69 por ciento (n=86). OPCIONES VETADAS spread 12% — usar ACCIONES o ETF apalancado
13:17:06 | 🎈 BB 15m RE-ENTRADA [MUTED p<55] | AMD reventó la banda 15 minutos ABAJO y re-entró en 532.50 — elastico mayor, digestion probable. prob medida 40 por ciento (n=5). OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:20:06 | 🎈 BB REBOTE | AAPL reventó la banda ABAJO y re-entró en 320.39. Elastico: rebote hacia la media 320.63 si imprime — chico y seguro. prob medida 65 por ciento (n=196). OPCIONES OK (spread 2%)
13:20:06 | 🎈 BB REBOTE | AMZN reventó la banda ABAJO y re-entró en 234.52. Elastico: rebote hacia la media 234.66 si imprime — chico y seguro. prob medida 68 por ciento (n=193). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 2%)
13:21:14 | 🚀 SPIKE CALLS AMD | SPIKE de calls en AMD: 10 mil contratos, 6 veces su ritmo. Climax comprador — rebote a la baja, probabilidad 60. OPCIONES s/d — default ACCIONES
13:21:14 | 🔄 GIRO A CALLS AMD | AMD girando a calls: ratio 0.76 desde 1.20
13:21:44 | 🧱🚀 SPIKE PUTS MSFT | SPIKE de puts en MSFT EN EL MURO 380: 6 mil contratos, 27 veces su ritmo. Panico contra el piso — rebote al alza reforzado, probabilidad 80. OPCIONES OK (spread 4%)
13:22:02 | 🚀 SPIKE CALLS GOOGL | SPIKE de calls en GOOGL: 19 mil contratos, 27 veces su ritmo. Climax comprador — rebote a la baja, probabilidad 60. OPCIONES OK (spread 4%)
13:22:06 | 🎈 BB REBOTE | MU reventó la banda ARRIBA y re-entró en 996.74. Elastico: reversion corta hacia la media 994.95 si imprime — chico y seguro. prob medida 65 por ciento (n=202). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:22:06 | 🎈 BB REBOTE | AMD reventó la banda ARRIBA y re-entró en 534.12. Elastico: reversion corta hacia la media 530.99 si imprime — chico y seguro. prob medida 69 por ciento (n=195). OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:22:06 | 🎈 BB REBOTE | EWY reventó la banda ARRIBA y re-entró en 172.94. Elastico: reversion corta hacia la media 172.59 si imprime — chico y seguro. prob medida 63 por ciento (n=185). OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:22:07 | 🎈 BB REBOTE | DRAM reventó la banda ARRIBA y re-entró en 58.70. Elastico: reversion corta hacia la media 58.63 si imprime — chico y seguro. prob medida 61 por ciento (n=186). OPCIONES VETADAS spread 13% — usar ACCIONES o ETF apalancado
13:22:07 | 🎈 BB REBOTE | SNDK reventó la banda ARRIBA y re-entró en 1672.96. Elastico: reversion corta hacia la media 1670.08 si imprime — chico y seguro. prob medida 73 por ciento (n=194). OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:22:07 | 🎈 BB REBOTE | STX reventó la banda ARRIBA y re-entró en 925.12. Elastico: reversion corta hacia la media 923.89 si imprime — chico y seguro. prob medida 72 por ciento (n=209). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:22:21 | 🚀 SPIKE PUTS GLD | SPIKE de puts en GLD: 3 mil contratos, 14 veces su ritmo. Panico vendedor — rebote al alza, probabilidad 88. OPCIONES s/d — default ACCIONES
13:22:24 | 🔄 GIRO A PUTS XLK | XLK girando a puts: ratio 1.63 desde 1.14
13:22:24 | 🐺 MANADA A PUTS | MANADA A PUTS: 3 tickers en 12 minutos — GLD MSFT XLK . Extremo de mercado, rebote del indice al alza probable. QQQ 692.84
13:26:07 | 🎈 BB REBOTE | META reventó la banda ARRIBA y re-entró en 606.61. Elastico: reversion corta hacia la media 606.28 si imprime — chico y seguro. prob medida 74 por ciento (n=212). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
13:27:07 | 🎈 BB REBOTE [VETO medido] | SPY reventó la banda ARRIBA y re-entró en 739.09. Elastico: reversion corta hacia la media 738.55 si imprime — chico y seguro. prob medida 72 por ciento (n=213). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES OK (spread 1%)
13:28:07 | 🎈 BB REBOTE | AAPL reventó la banda ARRIBA y re-entró en 320.86. Elastico: reversion corta hacia la media 320.60 si imprime — chico y seguro. prob medida 65 por ciento (n=196). OPCIONES OK (spread 2%)
13:34:08 | 🎈 BB REBOTE [VETO medido] | SPY reventó la banda ABAJO y re-entró en 738.15. Elastico: rebote hacia la media 738.66 si imprime — chico y seguro. prob medida 72 por ciento (n=213). [post-squeeze: el fade mejora +11 medido; VETO RSI2 extremo: impulso en curso, 53 por ciento] OPCIONES OK (spread 1%)
13:34:08 | 🎈 BB REBOTE | TSLA reventó la banda ABAJO y re-entró en 321.92. Elastico: rebote hacia la media 322.15 si imprime — chico y seguro. prob medida 70 por ciento (n=200). OPCIONES OK (spread 0%)
13:34:08 | 🎈 BB REBOTE | META reventó la banda ABAJO y re-entró en 604.77. Elastico: rebote hacia la media 606.01 si imprime — chico y seguro. prob medida 74 por ciento (n=212). OPCIONES OK (spread 5%)
13:34:08 | 🎈 BB REBOTE | QCOM reventó la banda ABAJO y re-entró en 169.27. Elastico: rebote hacia la media 169.54 si imprime — chico y seguro. prob medida 69 por ciento (n=182). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 8% — usar ACCIONES o ETF apalancado
13:34:08 | 🎈 BB BAND-WALK | NFLX camina la banda ARRIBA tambien en 5 minutos (69.17). Continuacion probable — NO hacer fade. prob medida 56 por ciento (n=18). OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:34:08 | 🎈 BB REBOTE | XLK reventó la banda ABAJO y re-entró en 178.50. Elastico: rebote hacia la media 178.70 si imprime — chico y seguro. prob medida 69 por ciento (n=183). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
13:34:08 | 🎈 BB REBOTE | SPCX reventó la banda ABAJO y re-entró en 115.31. Elastico: rebote hacia la media 115.71 si imprime — chico y seguro. prob medida 69 por ciento (n=205). [post-squeeze: el fade mejora +11 medido] OPCIONES OK (spread 2%)
13:34:08 | 🎈 BB REBOTE | SKHY reventó la banda ABAJO y re-entró en 173.69. Elastico: rebote hacia la media 174.06 si imprime — chico y seguro. prob medida 69 por ciento (n=86). [post-squeeze: el fade mejora +11 medido] OPCIONES VETADAS spread 6% — usar ACCIONES o ETF apalancado
13:34:08 | 🎈 BB REBOTE | SNDK reventó la banda ABAJO y re-entró en 1669.01. Elastico: rebote hacia la media 1674.54 si imprime — chico y seguro. prob medida 73 por ciento (n=194). [post-squeeze: el fade mejora +11 medido] OPCIONES s/d (sin cadena fresca) — default ACCIONES
